PURCHASE ORDER #,START SHIP DATE,END SHIP DATE,EVENT_ID,EVENT_START_DATE,EVENT_END_DATE
22467348,12/20/19,1/12/20,314400,4/11/20 8:00,4/14/20 8:00
22467349,12/20/19,1/12/20,314300,4/11/20 8:00,4/14/20 8:00
22467350,12/20/19,1/12/20,314302,4/11/20 8:00,4/14/20 8:00
22467351,12/20/19,1/12/20,314303,4/11/20 8:00,4/14/20 8:00
22467352,12/20/19,1/12/20,314305,4/11/20 8:00,4/14/20 8:00
22467353,12/20/19,1/12/20,314308,4/11/20 8:00,4/14/20 8:00
22467354,12/20/19,1/12/20,314311,4/11/20 8:00,4/14/20 8:00
22467356,12/20/19,1/12/20,314314,4/11/20 8:00,4/14/20 8:00
22467357,12/20/19,1/12/20,314315,4/11/20 8:00,4/14/20 8:00
22467358,12/20/19,1/12/20,314317,4/11/20 8:00,4/14/20 8:00
22467359,12/20/19,1/12/20,314319,4/11/20 8:00,4/14/20 8:00
22467360,12/20/19,1/12/20,313877,4/11/20 8:00,4/14/20 8:00
22467361,12/20/19,1/12/20,314321,4/11/20 8:00,4/14/20 8:00
22467362,12/20/19,1/12/20,313879,4/11/20 8:00,4/14/20 8:00
22467363,12/20/19,1/12/20,314322,4/11/20 8:00,4/14/20 8:00
22467364,12/20/19,1/12/20,314323,4/11/20 8:00,4/14/20 8:00
22467365,12/20/19,1/12/20,313878,4/11/20 8:00,4/14/20 8:00
22467366,12/20/19,1/12/20,314324,4/11/20 8:00,4/14/20 8:00
22467367,12/20/19,1/12/20,314325,4/11/20 8:00,4/14/20 8:00
22467368,12/20/19,1/12/20,314326,4/11/20 8:00,4/14/20 8:00
22467369,12/20/19,1/12/20,314327,4/11/20 8:00,4/14/20 8:00
22467370,12/20/19,1/12/20,314329,4/11/20 8:00,4/14/20 8:00
22467371,12/20/19,1/12/20,314440,4/11/20 8:00,4/14/20 8:00
22467372,12/20/19,1/12/20,314442,4/11/20 8:00,4/14/20 8:00
22467373,12/20/19,1/12/20,314444,4/11/20 8:00,4/14/20 8:00
22467374,12/20/19,1/12/20,314445,4/11/20 8:00,4/14/20 8:00
22467375,12/20/19,1/12/20,314447,4/11/20 8:00,4/14/20 8:00
22467376,12/20/19,1/12/20,314448,4/11/20 8:00,4/14/20 8:00
22467377,12/20/19,1/12/20,314449,4/11/20 8:00,4/14/20 8:00
22467378,12/20/19,1/12/20,313884,4/11/20 8:00,4/14/20 8:00
